club;sortitoutsi_team_id;
Cagliari Calcio;1114;
Como 1907;1123;
Hellas Verona;2201;
Parma Calcio 1913;1156;
Udinese Calcio;1178;
Calcio Padova;1154;
Carrarese Calcio 1908;1116;
Delfino Pescara 1936;1158;
Frosinone Calcio;2199;
Mantova 1911;700198;
Spezia Calcio;1173;
Virtus Entella;43036943;
AC Milan;1099;
ACF Fiorentina;1129;
AS Roma;1100;
Atalanta BC;1106;
Bologna FC 1909;1111;
Inter Milan;1135;
Genoa CFC;1132;
Juventus FC;1139;
Pisa Sporting Club;2215;
SS Lazio;1140;
SSC Napoli;1150;
Torino FC;1174;
US Cremonese;1125;
US Lecce;1141;
US Sassuolo;3800256;
AC Monza;1149;
AC Reggiana 1919;1164;
Cesena FC;1120;
FC Empoli;1126;
FC Südtirol;829172;
Modena FC;1147;
Palermo FC;2194;
SS Juve Stabia;1138;
SSC Bari;1110;
UC Sampdoria;1167;
US Avellino 1912;1108;
US Catanzaro;1119;
Venezia FC;1179;
CPR Ospitaletto;2213;
AC Renate;1413274;
AC Trento;700059;
AS Cittadella;2195;
AS Giana Erminio;7983711;
Aurora Pro Patria;2217;
Calcio Lecco 1912;2205;
Dolomiti Bellunesi;2000111884;
Arzignano Valchiampo;43156731;
FC Lumezzane;1145;
FC Pro Vercelli 1892;2218;
LR Vicenza;1181;
Novara FC;1153;
UC AlbinoLeffe;1142;
US Pergolettese 1932;43124315;
US Triestina;2229;
Union Brescia;2000478007;
Virtusvecomp Verona;43006436;
AC Bra;831114;
AC Carpi;1115;
AC Perugia Calcio;1157;
AS Gubbio 1910;108985;
Ascoli Calcio;1105;
Campobasso FC;43204869;
Forlì FC;2198;
Guidonia Montecelio 1937 FC;2000384267;
Pineto Calcio;43007150;
Ravenna FC;1163;
SS Arezzo;2185;
Ternana Calcio;2227;
SEF Torres 1903;2222;
US Città di Pontedera;2216;
US Livorno 1915;2206;
US Pianese;43076616;
US Sambenedettese;700036;
Vis Pesaro 1898;2231;
AZ Picerno;43065074;
Benevento Calcio;2188;
Calcio Foggia 1920;1131;
Casarano Calcio;1117;
Casertana FC;2191;
Catania FC;2193;
Cavese 1919;707648;
Cosenza Calcio;1124;
FC Crotone;707654;
FC Trapani 1905;1175;
Latina Calcio 1932;700060;
Potenza Calcio;43204872;
Audace Cerignola;43018336;
Giugliano Calcio 1928;108986;
SS Monopoli 1966;7983734;
Siracusa Calcio;3804379;
Sorrento 1945;831366;
ASD Team Altamura;43267658;
US Salernitana 1919;1166;
Arka Gdynia;129580;
Bruk-Bet Termalica Nieciecza;96000060;
Cracovia;129583;
GKS Katowice;1451;
Górnik Zabrze;1452;
Korona Kielce;129577;
Lech Poznan;1455;
Lechia Gdansk;715912;
Legia Warszawa;1456;
Motor Lublin;714221;
Piast Gliwice;714209;
Pogon Szczecin;1459;
Radomiak Radom;717327;
Raków Częstochowa;722115;
GKS Tychy;54003060;
Miedz Legnica;710017;
Odra Opole;129567;
Pogon Siedlce;96020194;
Polonia Bytom;129569;
Ruch Chorzow;1462;
Stal Mielec;715911;
Stal Rzeszow;130127;
Znicz Pruszkow;714240;
